 01     0 1 0.03250      0.6        0
 02   0.5 1 0.03250      0.6        0
 03   1.5 1 0.09321      0.6        0
 04   2.5 1 0.15536      0.6        0
 05   3.5 1 0.12551      0.6        0
 06   4.5 1 0.16138      0.6        0
 07   5.5 1 0.19724      0.6        0
 08   6.5 1 0.23310      0.6        0
 09   7.5 1 0.10098      0.6        0
 10   8.5 1 0.11444      0.6        0
 11   9.5 1 0.12791      0.6        0
 12  10.5 1 0.14137      0.6        0
 13  11.5 1 0.15483      0.6        0
 14  12.5 1 0.16830      0.6        0
 15  13.5 1 0.18176      0.6        0
 16  14.5 1 0.19523      0.6        0
