#  No. Name   x1_north(km)  x2_east(km)  x3_down(km)   
    1  PS01  -6.6608e+01  -4.7933e+01  0.0000e+00
    2  PS02  7.8924e+00  -3.3470e+01  0.0000e+00
    3  PS03  1.6477e+01  -2.0905e+01  0.0000e+00
    4  PS04  3.3868e+01  -2.0363e+01  0.0000e+00
    5  PS05  4.2952e+01  -9.8925e+00  0.0000e+00
    6  PS06  5.7241e+01  -6.0009e+00  0.0000e+00
    7  PS07  5.8753e+01  -5.9355e+01  0.0000e+00
    8  PS08  6.5391e+01  2.5081e+00  0.0000e+00
    9  PS09  8.8253e+01  -5.7587e+01  0.0000e+00
   10  PS10  9.6159e+01  -4.7745e+01  0.0000e+00
   11  PS11  6.7037e+01  -6.2607e+01  0.0000e+00
   12  PS13  1.5921e+01  -9.0898e+00  0.0000e+00
   13  PS14  1.8400e+01  4.5247e+00  0.0000e+00
   14  PS15  1.4064e+01  1.2321e+01  0.0000e+00
   15  PS16  7.3175e+01  -6.4773e+01  0.0000e+00
   16  PS17  1.1049e+02  -3.2984e+01  0.0000e+00
   17  PS18  1.2514e+02  -3.4929e+01  0.0000e+00
   18  PS19  -9.3095e+00  7.4733e+00  0.0000e+00
   19  PS20  -1.6048e+01  2.5906e+01  0.0000e+00
   20  PS21  -1.0577e+01  1.2245e+01  0.0000e+00
   21  PK20  1.3314e+02  3.4702e+01  0.0000e+00
